canto	lineStart	lineEnd	circle	shortDescript	motion	threshold	object	speech	objectType	objectNumber	distribution	rows	radiusEnd	radiusStart	ychange	HSLlightHigh	HSLlightLow	HSLsat	HSLhue	danteTheta	thetaSpread	thetaStart	thetaGapStart	thetaGapEnd	dotSize	dots		
22	79	90	8.5	Fra Gomita and Michel Zanche			1		Souls	2																		
22	91	117	8.5	Ciampolo tricks the Malebrache					Soul																			
22	118	151	8.5	Ciampolo dives Malebrache purse					Soul																			
23	1	33	8.5	Dante and Virgil leave the Malebranche	1				Dante																			
23	34	36	8.5	Malebranche pursue	1				Demons																			
23	37	51	8.5	Virgil carries Dante to the next ridge	1				Virgil																			
23	52	57	8.6	Malebranche stuck above	0				Demons																			
23	58	75	8.6	The Hypocrites	1		1		Souls	m	Lacquered people. Slow																	
23	76	108	8.6	Catalano and Loderingo	1		1		Souls	2																		
23	109	126	8.6	Caiaphas nailed underfoot	1		1		Soul	1	under																	
23	127	144	8.6	Virgil learns all the bridges were broken	1				Virgil																			
24	1	21	8.6	"Virgil trouble, metaphor"	0				Virgil																			
24	22	63	8.6	Climbing out of the ditch	1				Dante																			
24	64	81	8.6	A voice from the next ditch	1				Soul																			
24	82	90	8.7	Serpents	0		1		Demon	m	"serpents, small, lots"																	
24	91	96	8.7	The Thieves	0		1		Souls	m																		
24	97	120	8.7	Vanni Fucci to ashes and back	0		1		Soul	1																		
24	121	151	8.7	Dialogue with Vanni	0		0		Soul																			
25	1	15	8.7	Vanni's punishment	0				Soul																			
25	16	33	8.7	Cacus	0		1		Demon	1	centaur																	
25	34	48	8.7	Transformations of Thieves/Serpents	0		1		Souls	3																		
25	49	78	8.7	Angello and Cianfa mutate	0		1		Serpent	1	intersect on																	
25	79	141	8.7	Buoso and Francesco transmutate	0		1		Serpent	1	intersect other																	
25	142	151	8.7	Puccio unchanged	0				Soul																			
26	1	12	8.7	Florence in Hell	0				Dante																			
26	13	18	8.7	Climbing out of the ditch	1				Dante																			
26	19	51	8.8	False Consellors (within flames)	0		1		Souls	m	bright/red yellow																	
26	52	75	8.8	Ulysses and Diomedes (Double Flame)	0		1		Souls	2	"attached, one larger"																	
26	76	84	8.8	Virgil to Ulysses and Diomedes	0				Virgil																			
26	85	142	8.8	Ulysses' tale	0				Soul																			
27	1	15	8.8	Another flame appears	0				Soul																			
27	16		8.8	Guido da Montefeltro	0		1		Soul	1	further in																	
